rank,release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
1,3.4.5,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,506,104,34,6,9,1032,414,30.352941176470587,893,273,26.264705882352942,1621,290,96,8.529411764705882,197,146.18075262183837,8,4,94,6,154,yes
2,3.4.5,src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,564,119,53,6,22,695,243,13.11320754716981,425,192,8.018867924528301,1073,580,96,10.943396226415095,203,86.21342031686859,8,0,109,7,137,yes
3,3.4.5,src/java/main/org/apache/zookeeper/server/DataTree.java,923,289,42,6,11,1272,327,30.285714285714285,835,257,19.88095238095238,1981,455,96,10.833333333333334,203,128.42099949520446,9,1,174,6,113,yes
4,3.4.5,src/java/main/org/apache/zookeeper/ClientCnxn.java,1003,222,61,7,27,1890,169,30.983606557377048,1125,233,18.442622950819672,3263,417,96,6.836065573770492,208,109.54489733374196,6,0,159,10,103,yes
5,3.4.5,src/java/main/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,673,150,12,5,0,358,178,29.833333333333332,104,67,8.666666666666666,642,225,96,18.75,200,152.1417445482866,5,2,86,10,92,no
6,3.4.5,src/java/main/org/apache/jute/compiler/JRecord.java,674,26,10,4,4,508,227,50.8,255,226,25.5,763,83,31,8.3,182,140.26343381389253,8,23,96,5,90,yes
7,3.4.5,src/java/main/org/apache/zookeeper/server/quorum/LearnerHandler.java,472,98,30,7,13,500,56,16.666666666666668,252,50,8.4,774,271,96,9.033333333333333,156,76.0219638242894,4,1,65,10,89,yes
8,3.4.5,src/java/main/org/apache/zookeeper/server/quorum/Leader.java,597,249,58,7,26,1142,90,19.689655172413794,571,75,9.844827586206897,1765,518,96,8.931034482758621,200,88.61076487252124,7,0,104,7,88,yes
9,3.4.5,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,844,191,62,6,27,2670,420,43.064516129032256,2094,777,33.774193548387096,4850,568,96,9.161290322580646,206,141.36989690721649,6,0,143,7,77,yes
10,3.4.5,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,714,140,46,7,17,867,182,18.847826086956523,729,160,15.847826086956522,1297,595,96,12.934782608695652,206,109.44718581341557,3,0,75,6,76,yes
11,3.4.5,src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,513,275,37,7,14,1549,284,41.86486486486486,389,93,10.513513513513514,2751,395,96,10.675675675675675,205,131.98691384950928,4,0,85,10,72,yes
12,3.4.5,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java,920,255,55,7,15,1430,239,26,927,200,16.854545454545455,1991,550,96,10,205,97.86087393269713,4,1,100,10,68,yes
13,3.4.5,src/java/main/org/apache/zookeeper/server/quorum/Learner.java,342,110,21,6,12,648,375,30.857142857142858,572,375,27.238095238095237,740,249,96,11.857142857142858,159,119.54729729729729,2,0,52,7,63,yes
14,3.4.5,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,381,72,32,5,5,910,238,28.4375,383,100,11.96875,1525,250,96,7.8125,208,139.65573770491804,3,0,96,6,60,no
15,3.4.5,src/contrib/zooinspector/src/java/org/apache/zookeeper/inspector/manager/ZooInspectorManagerImpl.java,597,210,1,1,0,852,852,852,852,852,852,852,24,24,24,140,140,3,0,84,7,55,no
16,3.4.5,src/java/main/org/apache/zookeeper/ZooKeeper.java,813,882,45,7,19,1479,302,32.86666666666667,1218,145,27.066666666666666,2056,329,96,7.311111111111111,208,132.41439688715954,2,0,168,6,48,yes
17,3.4.5,src/java/main/org/apache/zookeeper/server/NettyServerCnxn.java,696,58,12,5,2,866,820,72.16666666666667,855,820,71.25,879,215,96,17.916666666666668,117,113.25369738339022,4,0,104,8,46,yes
18,3.4.5,src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java,338,47,34,6,16,339,54,9.970588235294118,252,49,7.411764705882353,532,523,96,15.382352941176471,203,116.85902255639098,2,0,47,7,46,yes
19,3.4.5,src/java/main/org/apache/zookeeper/Login.java,279,89,8,2,4,816,313,102,497,313,62.125,1147,41,18,5.125,65,57.210985178727114,3,0,53,10,43,yes
20,3.4.5,src/contrib/loggraph/src/java/org/apache/zookeeper/graph/TxnLogSource.java,302,20,3,3,0,382,377,127.33333333333333,380,377,126.66666666666667,388,143,96,47.666666666666664,127,125.5979381443299,2,0,35,6,40,no
21,3.4.5,src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,209,61,16,5,3,260,109,16.25,105,36,6.5625,421,224,96,14,200,150.94299287410925,4,0,41,9,40,no
22,3.4.5,src/java/main/org/apache/zookeeper/client/ZooKeeperSaslClient.java,404,86,15,2,6,856,348,57.06666666666667,708,348,47.2,1008,64,18,4.266666666666667,65,37.398809523809526,3,0,62,9,38,yes
23,3.4.5,src/java/main/org/apache/zookeeper/ClientCnxnSocketNIO.java,312,70,17,6,8,731,318,43,552,318,32.470588235294116,938,174,96,10.235294117647058,105,52.07356076759062,4,0,51,8,34,yes
24,3.4.5,src/java/main/org/apache/zookeeper/server/quorum/CommitProcessor.java,122,46,14,4,6,36,11,2.5714285714285716,24,8,1.7142857142857142,72,236,96,16.857142857142858,200,101.73611111111111,2,0,30,8,25,no
25,3.4.5,src/java/main/org/apache/zookeeper/Shell.java,259,164,2,2,0,476,475,238,476,475,238,476,51,33,25.5,65,64.99159663865547,2,0,37,6,24,no
26,3.4.5,src/java/main/org/apache/zookeeper/KeeperException.java,367,280,11,3,7,789,383,71.72727272727273,394,261,35.81818181818182,1184,67,16,6.090909090909091,203,193.2373310810811,2,0,64,3,23,yes
27,3.4.5,src/contrib/zooinspector/src/java/org/apache/zookeeper/inspector/gui/ZooInspectorTreeViewer.java,247,82,2,1,0,372,362,186,368,362,184,388,34,24,17,140,133.83505154639175,2,0,32,6,22,no
28,3.4.5,src/contrib/fatjar/src/java/org/apache/zookeeper/util/FatJarMain.java,79,41,1,1,0,126,126,126,126,126,126,126,1,1,1,201,201,2,0,12,4,22,no
29,3.4.5,src/contrib/loggraph/src/java/org/apache/zookeeper/graph/servlets/Throughput.java,84,17,2,2,0,126,124,63,125,124,62.5,127,130,96,65,127,125.96062992125984,2,0,12,4,15,no
30,3.4.5,src/java/main/org/apache/zookeeper/common/PathUtils.java,64,31,1,1,1,103,103,103,103,103,103,103,1,1,1,188,188,2,0,23,5,10,no
31,3.4.5,src/java/main/org/apache/zookeeper/server/Request.java,190,34,9,6,3,112,38,12.444444444444445,63,21,7,165,207,96,23,177,113.35757575757576,4,0,55,5,8,no
